kode_spec;nama_perangkat;kode_id
B3CD02A0008M;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;A0009
B3CD02A0008M;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;A0010
B3CD0400048M;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);A0071
B3CD0400048M;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);A0075
B3CD08A0003M;DC PDU/DCDU;A0256
B3CD08A0003M;DC PDU/DCDU;A0257
B2WN0287103M;Standard 1U, 19'' standalone IP/MPLS pre-aggregation device, 6 x 100G/40G QSFP28/QSFP+ for uplink, 24 x 25G/10G/1G SFP28/SFP+/SF;A0002
B2WN0287107M;FAN FOR RAX721-C-6C48;A0004B
B2WN0287107M;FAN FOR RAX721-C-6C48;A0003B
B2WN0287106M;DC POWER SUPPLY FOR RAX721-C-6C48;A0004B
B2WN0287106M;DC POWER SUPPLY FOR RAX721-C-6C48;A0002B
B2WN00A0189M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;A0234
B2WN00A0189M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;A0231
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;00455
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00796
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00868
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;00069
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00361
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00454
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00548
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00519
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00636
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;00184
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;01200
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;00923
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;00166
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;00651
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );03853
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04117
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );A3353
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );01399
B2WN0100041W;3RD PARTY GPON ONT WITH 4FE + 2 POTS ( PN - 177-80001 ) ( PN - 177-80001 );00348
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );A0127
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );02118
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );01676
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );A3427
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04638
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );00021
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );A0016
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04773
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04993
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );01576
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );00949
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );01490
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );02767
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04823
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );04873
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );A0011
