kode_spec;nama_perangkat;noreg
B3CD02A0008M;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0009
B3CD02A0008M;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0010
B3CD0400048M;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0071
B3CD0400048M;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0075
B3CD08A0003M;DC PDU/DCDU;B3CD08A0003MA0256
B3CD08A0003M;DC PDU/DCDU;B3CD08A0003MA0257
B2WN0287103M;Standard 1U, 19'' standalone IP/MPLS pre-aggregation device, 6 x 100G/40G QSFP28/QSFP+ for uplink, 24 x 25G/10G/1G SFP28/SFP+/SF;B2WN0287103MA0002
B2WN0287107M;FAN FOR RAX721-C-6C48;B2WN0287107MA0004B
B2WN0287107M;FAN FOR RAX721-C-6C48;B2WN0287107MA0003B
B2WN0287106M;DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0004B
B2WN0287106M;DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0002B
B2WN00A0189M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0234
B2WN00A0189M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0231
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00455
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00796
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00868
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00069
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00361
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00454
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00548
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00519
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00636
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00184
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G01200
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00923
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00166
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00651
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03853
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04117
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3353
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01399
B2WN0100041W;3RD PARTY GPON ONT WITH 4FE + 2 POTS ( PN - 177-80001 ) ( PN - 177-80001 );B2WN0100041W00348
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0127
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02118
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01676
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3427
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04638
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00021
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0016
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04773
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04993
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01576
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00949
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01490
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02767
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04823
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04873
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0011
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03373
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00859
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03697
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3918
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA2546
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01425
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01053
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02304
