kode_id;nama;noreg
A0009;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0009
A0010;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION;B3CD02A0008MA0010
A0071;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0071
A0075;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY);B3CD0400048MA0075
A0256;DC PDU/DCDU;B3CD08A0003MA0256
A0257;DC PDU/DCDU;B3CD08A0003MA0257
A0002;Standard 1U, 19'' standalone IP/MPLS pre-aggregation device, 6 x 100G/40G QSFP28/QSFP+ for uplink, 24 x 25G/10G/1G SFP28/SFP+/SF;B2WN0287103MA0002
A0004B;FAN FOR RAX721-C-6C48;B2WN0287107MA0004B
A0003B;FAN FOR RAX721-C-6C48;B2WN0287107MA0003B
A0004B;DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0004B
A0002B;DC POWER SUPPLY FOR RAX721-C-6C48;B2WN0287106MA0002B
A0234;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0234
A0231;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;B2WN00A0189MA0231
00455;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00455
00796;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00796
00868;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00868
00069;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00069
00361;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00361
00454;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00454
00548;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00548
00519;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00519
00636;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00636
00184;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00184
01200;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G01200
00923;FORTIGATE-50E HW AND WARRANTY;B2WN0262020H00923
00166;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00166
00651;FORTIGATE-30E HW AND WARRANTY;B2WN0262020G00651
03853;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03853
04117;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04117
A3353;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3353
01399;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01399
00348;3RD PARTY GPON ONT WITH 4FE + 2 POTS ( PN - 177-80001 ) ( PN - 177-80001 );B2WN0100041W00348
A0127;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0127
02118;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02118
01676;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01676
A3427;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3427
04638;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04638
00021;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00021
A0016;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0016
04773;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04773
04993;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04993
01576;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01576
00949;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00949
01490;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01490
02767;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02767
04823;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04823
04873;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04873
A0011;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA0011
03373;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03373
00859;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00859
03697;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03697
A3918;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA3918
A2546;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041XA2546
01425;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01425
01053;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01053
02304;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X02304
04732;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X04732
03974;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X03974
00911;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X00911
01887;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 );B2WN0100041X01887
A0124;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0124
A0293;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0293
A0238;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0238
A0231;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0231
A0149;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0149
A0134;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0134
A0247;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0247
A0244;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0244
A0236;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0236
A0226;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0226
A0227;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0227
A0133;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0133
A0137;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0137
A0130;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0130
A0125;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0125
A0275;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0275
