kode_spec;nama_perangkat
B3CD02A0008M;SMART DC DISTRIBUTION PANEL WITH MODBUS RTU COMMUNICATION
B3CD0400048M;RECTIFIER 9000WATT 3X POWER MODUL, CONTROLLER WITH SNMP COMMUNICATON, SUPPORT LITHIUM BATTERY)
B3CD08A0003M;DC PDU/DCDU
B2WN0287103M;Standard 1U, 19'' standalone IP/MPLS pre-aggregation device, 6 x 100G/40G QSFP28/QSFP+ for uplink, 24 x 25G/10G/1G SFP28/SFP+/SF
B2WN0287107M;FAN FOR RAX721-C-6C48
B2WN0287106M;DC POWER SUPPLY FOR RAX721-C-6C48
B2WN00A0189M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel
B2WN0262020G;FORTIGATE-30E HW AND WARRANTY
B2WN0262020H;FORTIGATE-50E HW AND WARRANTY
B2WN0100041X;3RD PARTY GPON ONT WITH 4GE + 2 POTS ( PN - 178-80003 )
B2WN0100041W;3RD PARTY GPON ONT WITH 4FE + 2 POTS ( PN - 177-80001 ) ( PN - 177-80001 )
B2WN00A0362M;SFP+ 10G SR 850NM, 300M
B2WN00A0121M;Generic Compatible 10GBASE-BX40-D BiDi SFP+ 1330nm-TX/1270nm-RX 20km DDM LC SMF Transceiver (QT-BIDI-SFP+-LH-33)
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM
B2WN0150017M;SFP+ 10G RAISECOM 40KM
B2WN0150090M;SFP+ ATOP 10G ER 1550nm 40KM
B2WN00A0365M;Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM
B2WN0150261M;SFP+ 10G 1550nm 40 KM-Project Lambda
B2WN00A0125M;Transceiver BIDI SFP+ 10G Tx1270nm 20km DDM
B2WN0287060M;SFP+ 10G-SINGLESTRAIN 20KM (Tx-1330 / Rx-1270) (brand: FS/Qonitech/Atop/3Tech/6Com)
B2WN0286428M;SFP ATOP 10G-SINGLESTRAIN 40KM TX 1330NM RX 1270NM
B2WN00A0104M;Customized  Compatible 10GBASE-ER SFP+ 1550nm 40km DDM LC SMF Transceiver Module Industrial Temperature
B2WN00A0317M;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost
B2WN00A0216M;QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM)
B2WN0286411M;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module
B2WN0286593M;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module
B2WN0286745M;Juniper Networks JNP-QSFP-100G-SR4 Compatible 100GBASE-SR4 QSFP28 850nm 100m DOM MTP/MPO MMF Optical Transceiver Module
B2WN0287155M;Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost
B2WN00A0190M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel
B2WN00A0219M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel
B2WN00A0139M;10Gbps, 40km, 1550nm, dual fiber, single mode, DDM, RoHS, commercial, Raisecom USFP+ transceiver module. P/N. USFP+-192/S2
B2WN00A0346M;Starview QSFP56-DD 400Gbps module 400G-ER4 aggregating 4 x 100Gbps LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) SM (LC) 
B2WN00A0003M;1.25Gbit/s, 15km, 1310nm, dual-fiber, single-mode, DDM, RoHS, Industrial, USFP transceiver module
B2WN00A0105M;Customized Compatible 10GBASE-ZR SFP+ 1550nm 80km DOM LC SMF Transceiver Module Industrial Temperature
B2WN0150043M;RAISECOM SFP 1.25G ( STM 4 ) DDMI TX/RX 1310 NM 15KM
B2WN0150044M;RAISECOM GE SFP LH SINGLE STRAIN TX 1550NM RX 1310NM 40KM
B2WN0286127M;550m max distance, 850nm, 1.25Gbit/s, dual fiber, multi-mode, DDM, RoHS, commercial.
B2WN0150202M;SFP ATOP 1G SR 850nm
B2WN0286922M;6C-SFP-0301D SFP 1.25G 850nm 550M
B2WN0286041M;1000BASE-SX SFP transceiver module, MMF, 850nm, DOM
B2WN0286923M;Cisco SFP-10G-ZR Compatible 10GBASE-ZR/ZW and OTU2e SFP+ 1550nm 80km DOM Duplex LC SMF Transceiver Module
B2WN0150045M;RAISECOM GE SFP LH SINGLE STRAIN TX 1490NM RX 1550NM 40KM
B2WN0150201M;SFP ATOP 1G LR 1310nm
B2WN0150046M;RAISECOM GE SFP LX SINGLE STRAIN TX 1550NM RX 1310NM 15KM
B2WN00A0130M;10GBASE ZR SFP+ 1550nm 80km Ipiinfussion Edge-Core Compatible
B2WN0131046L;1000BASE-LX/LH SFP TRANSCEIVER MODULE, MMF/SMF, 1310NM, DOM ( PN - GLC-LH-SMD )
B2WN0286459M;Small Form Factor Pluggable 10 Gigabit Ethernet (SFP+) SR Optics
B2WS0200138M;ADAPTER 12V, 1.5A FOR BIVOCOM
B2WN00A0322M;Adapter ISCOM6108-XGS  Output 12V:3A 36.0 Watt
B2WN0286917M;Adapter VeloCloud Edge 510
B2WN0286830M;Tabletop,  with fan NCA-1515B-4C-8D-64S
B2WS0200137M;Bivocom TG451-LY5DM-W Industrial 4G Router
B2WN0150205M;Huawei B312 Modem Router Wifi (Include antenna 8db)
B2WN0150268M;ISCOM6108-XGS: XGS-PON metal shell MDU, user side interface is 1*2.5GE+7*GE+1*10GF, external European power adapter, PON optical
B2WN0150153M;ADAPTOR 12V 1A
B2WN0286829M;Power Adapter NCA-1515B 12V=5A
B2WN0286916M;Mandiri - Branches - VC-510 - Edge 510 Appliance 
B2WN00A0321M;GSFP+-XSNU-R  XGS-PON-ONU optical module
B3CD0100238M;Power suply MODEM ORBIT ZTE 
B2WN0286509M;MIKROTIK CRS328-24P-4S+RM
B2WN00A0392M;4 x GE RJ45 ports (including 3 x Internal Ports, 1 x WAN Ports)
B2WS05A0001M;Router Huawei B315
B2WN0286290M;Mikrotik LtAP mini LTE kit - RB912R-2nD-LTm&R11e-LTE
B2WS028N0112;ROUTER MIKROTIK CCR1009-8G-1S-1S+
B2WN0150152M;HUAAWEI Router B311As + Antena
B2WN0286595M;Router Mikrotik RB1100AHX4
B2WS028N0113;MIKROTIK RB951UI-2HND ( PN - ) ( PN - )
B2WS028N010B;ROUTERBOARD MIKROTIK ( PN - )
B2WN00A0391M;AC power adaptors for FG/FWF-30G, come with interchangeable power plugs
B2WS028N0119;MIKROTIK 952
B2WN0286417M;PSU 12V, 3A FOR FORTIGATE 40 F
B2WS028N0110;MIKROTIK ROUTER RB1100AHX2 1U RACKMOUNT
B2WS028N010S;ROUTER MIKROTIK CCR1036-12G-4S-EM
B2WS028N0107;MIKROTIK ROUTER RB1100-1U
B2WN00A0289M;XGS-PON/GPON Combo optical module, OLT side, 20 km, commercial, DDM, RoHSXGS-PON: Tx wavelength 1577 nm, uplink rate 9.953 and 2
B2WN0150068M;SFP GPON 2.5G 1.25G 30KM
